[2025-04-30 22:06:36,247] INFO in app: Logging setup complete!
'FLASK_ENV' is deprecated and will not be used in Flask 2.3. Use 'FLASK_DEBUG' instead.
 * Debugger is active!
 * Debugger PIN: 143-597-879
 * Detected change in '/home/pi/webapp/app.py', reloading
30 22:07:00,937 - Logging setup complete!
2025-05-01 20:49:57,004 - Audio Monitor - RMS: 0.9308125597544875 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,104 - Audio Monitor - RMS: 0.9116040694001198 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,204 - Audio Monitor - RMS: 0.9462338199521516 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,304 - Audio Monitor - RMS: 0.9313802490945002 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,404 - Audio Monitor - RMS: 0.941950510509251 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,504 - Audio Monitor - RMS: 0.9192356325988584 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,604 - Audio Monitor - RMS: 0.8810003814862998 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,704 - Audio Monitor - RMS: 0.8351702500458706 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,804 - Audio Monitor - RMS: 0.8070290030072154 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:57,904 - Audio Monitor - RMS: 0.8503707641037838 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:58,004 - Audio Monitor - RMS: 0.729529310937288 dB, Peak: 0.9860853173093515 dB
2025-05-01 20:49:58,104 - Audio Monitor - RMS: 0.6478943204255755 dB, Peak: 0.8132361506553586 dB
2025-05-01 20:49:58,204 - Audio Monitor - RMS: 0.6373762277850851 dB, Peak: 0.830737503859186 dB
2025-05-01 20:49:58,304 - Audio Monitor - RMS: 0.569664391590729 dB, Peak: 0.7757197682169481 dB
2025-05-01 20:49:58,405 - Audio Monitor - RMS: 0.8470813920651047 dB, Peak: 0.9849623467446939 dB
2025-05-01 20:49:58,505 - Audio Monitor - RMS: 0.9397628611740345 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:58,604 - Audio Monitor - RMS: 0.8893213090334169 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:58,704 - Audio Monitor - RMS: 0.9517378553227894 dB, Peak: 1.0 dB
2025-05-01 20:49:58,804 - Audio Monitor - RMS: 0.9596299103454664 dB, Peak: 1.0 dB
2025-05-01 20:49:58,904 - Audio Monitor - RMS: 0.9329403478385084 dB, Peak: 1.0 dB
2025-05-01 20:49:59,005 - Audio Monitor - RMS: 0.9492576385623398 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:59,105 - Audio Monitor - RMS: 0.928902583177614 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:59,205 - Audio Monitor - RMS: 0.8922295511456073 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:59,305 - Audio Monitor - RMS: 0.7900976887352962 dB, Peak: 0.9922318610281898 dB
2025-05-01 20:49:59,405 - Audio Monitor - RMS: 0.7593700859674674 dB, Peak: 0.9383550990702034 dB
2025-05-01 20:49:59,505 - Audio Monitor - RMS: 0.8265635387002318 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:59,605 - Audio Monitor - RMS: 0.8602276338765642 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:59,705 - Audio Monitor - RMS: 0.8774834317395058 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:59,804 - Audio Monitor - RMS: 0.8958770056152209 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:49:59,904 - Audio Monitor - RMS: 0.8895817727200163 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:00,004 - Audio Monitor - RMS: 0.8806460536788829 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:00,105 - Audio Monitor - RMS: 0.8245612042267408 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:00,204 - Audio Monitor - RMS: 0.9520155586953851 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:00,305 - Audio Monitor - RMS: 0.9587521514260994 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:00,404 - Audio Monitor - RMS: 0.9083552572894973 dB, Peak: 0.9999955820606604 dB
2025-05-01 20:50:00,504 - Audio Monitor - RMS: 0.6712021379613243 dB, Peak: 0.8594289498675405 dB
2025-05-01 20:50:00,604 - Audio Monitor - RMS: 0.6563505498817176 dB, Peak: 0.9102756701581144 dB
2025-05-01 20:50:00,704 - Audio Monitor - RMS: 0.5917947426987207 dB, Peak: 0.7674819407340259 dB
